,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport
1978,1,No,Arts,Auditory,Male,No,48.0,22.0,8.0,16.0,8.0,95.0,21:30,5:30,public transport
1979,1,No,Clubs,Visual,Male,No,53.0,28.0,2.0,15.0,16.0,93.0,22:00,6:00,private transport
1980,0,No,Sports,Auditory,Female,No,59.0,11.0,10.0,15.0,8.0,92.0,22:00,6:00,private transport
1981,1,No,Arts,Auditory,Female,Yes,61.0,21.0,7.0,16.0,12.0,95.0,21:00,5:00,public transport
1982,1,No,None,Auditory,Female,Yes,69.0,8.0,20.0,16.0,9.0,99.0,21:00,5:00,public transport
1983,2,No,Arts,Visual,Male,Yes,78.0,12.0,5.0,16.0,9.0,93.0,23:00,7:00,walk
1984,0,Yes,Arts,Auditory,Male,Yes,79.0,14.0,1.0,15.0,10.0,97.0,23:00,7:00,walk
1985,1,No,None,Auditory,Female,Yes,64.0,1.0,27.0,16.0,18.0,95.0,22:30,6:30,private transport
1986,2,No,Sports,Visual,Male,No,61.0,22.0,1.0,16.0,7.0,99.0,22:00,6:00,private transport
1987,2,No,Clubs,Visual,Female,Yes,75.0,12.0,7.0,16.0,10.0,92.0,22:30,6:30,private transport
1988,1,No,Sports,Auditory,Female,Yes,63.0,18.0,10.0,15.0,9.0,94.0,23:00,7:00,walk
1989,1,No,Clubs,Visual,Male,Yes,71.0,23.0,1.0,15.0,14.0,92.0,22:00,6:00,private transport
1990,1,Yes,None,Visual,Male,No,90.0,21.0,0.0,16.0,7.0,100.0,23:00,7:00,walk
1991,1,Yes,Arts,Auditory,Male,Yes,75.0,13.0,8.0,15.0,7.0,99.0,22:30,6:30,private transport
1992,0,Yes,Arts,Auditory,Male,Yes,73.0,15.0,0.0,16.0,17.0,95.0,22:30,6:30,private transport
1993,0,Yes,None,Visual,Female,No,70.0,10.0,6.0,15.0,10.0,92.0,22:30,6:30,private transport
1994,2,No,Clubs,Auditory,Male,Yes,66.0,12.0,7.0,15.0,15.0,90.0,23:00,7:00,walk
1995,2,No,Arts,Auditory,Female,Yes,50.0,1.0,21.0,15.0,10.0,100.0,21:00,5:00,public transport
1996,1,Yes,Clubs,Auditory,Female,Yes,72.0,13.0,6.0,16.0,9.0,96.0,21:00,5:00,public transport
1997,1,No,Sports,Visual,Female,No,52.0,7.0,23.0,15.0,18.0,91.0,21:30,5:30,public transport
1998,0,No,Clubs,Auditory,Female,No,69.0,6.0,15.0,16.0,5.0,100.0,23:00,7:00,walk
1999,0,No,Sports,Auditory,Male,No,59.0,11.0,16.0,15.0,6.0,92.0,22:30,6:30,private transport
2000,2,No,Arts,Visual,Male,Yes,71.0,17.0,6.0,16.0,8.0,99.0,21:00,5:00,public transport
2001,1,No,Arts,Auditory,Male,No,54.0,24.0,0.0,15.0,9.0,97.0,23:00,7:00,walk
2002,0,No,None,Visual,Female,No,79.0,1.0,26.0,15.0,7.0,97.0,22:00,6:00,private transport
2003,2,No,None,Visual,Male,No,68.0,13.0,9.0,16.0,8.0,94.0,21:00,5:00,public transport
2004,0,Yes,Arts,Visual,Male,No,81.0,14.0,3.0,15.0,9.0,92.0,23:00,7:00,walk
2005,1,Yes,None,Auditory,Female,No,65.0,2.0,19.0,16.0,12.0,90.0,22:00,6:00,private transport
2006,0,No,Clubs,Auditory,Male,Yes,66.0,18.0,2.0,15.0,19.0,90.0,23:00,7:00,walk
2007,0,Yes,None,Visual,Female,No,81.0,4.0,12.0,16.0,8.0,97.0,21:30,5:30,public transport
2008,2,No,Clubs,Visual,Male,No,69.0,18.0,4.0,15.0,17.0,95.0,23:00,7:00,walk
2009,1,No,None,Auditory,Female,No,48.0,14.0,11.0,16.0,0.0,95.0,22:00,6:00,private transport
2010,0,No,None,Auditory,Male,Yes,67.0,16.0,5.0,16.0,9.0,95.0,21:00,5:00,public transport
2011,1,No,Arts,Visual,Female,No,49.0,1.0,29.0,15.0,14.0,99.0,22:30,6:30,private transport
2012,0,No,None,Auditory,Female,Yes,77.0,3.0,18.0,15.0,10.0,97.0,22:30,6:30,private transport
2013,1,No,Sports,Auditory,Male,No,53.0,17.0,13.0,15.0,15.0,97.0,22:00,6:00,private transport
2014,1,Yes,None,Visual,Female,Yes,91.0,1.0,20.0,16.0,10.0,93.0,21:00,5:00,public transport
2015,1,Yes,Sports,Visual,Male,Yes,100.0,17.0,0.0,15.0,9.0,92.0,22:30,6:30,private transport
2016,2,No,None,Auditory,Male,Yes,61.0,10.0,10.0,15.0,9.0,94.0,23:00,7:00,walk
2017,1,Yes,Clubs,Auditory,Male,No,76.0,16.0,4.0,15.0,7.0,97.0,22:00,6:00,private transport
2018,0,No,Arts,Visual,Female,Yes,88.0,0.0,22.0,16.0,8.0,94.0,22:30,6:30,private transport
2019,1,No,None,Visual,Female,Yes,60.0,1.0,27.0,15.0,16.0,99.0,23:00,7:00,walk
2020,2,Yes,Clubs,Auditory,Female,No,41.0,13.0,9.0,16.0,11.0,62.0,1:00,7:00,walk
2021,1,No,Clubs,Visual,Female,Yes,60.0,9.0,19.0,16.0,10.0,99.0,22:30,6:30,private transport
2022,1,No,Arts,Visual,Female,No,55.0,18.0,13.0,15.0,19.0,96.0,23:00,7:00,walk
2023,0,No,Sports,Auditory,Female,Yes,66.0,19.0,8.0,16.0,17.0,92.0,21:30,5:30,public transport
2024,0,No,Sports,Visual,Male,No,79.0,11.0,16.0,16.0,5.0,91.0,23:00,7:00,walk
2025,0,No,Arts,Auditory,Male,Yes,66.0,18.0,3.0,16.0,18.0,97.0,21:30,5:30,public transport
2026,2,No,Clubs,Auditory,Male,Yes,74.0,11.0,10.0,15.0,17.0,91.0,21:30,5:30,public transport
2027,1,Yes,Arts,Visual,Male,Yes,96.0,11.0,6.0,16.0,6.0,95.0,22:30,6:30,private transport
2028,2,No,Clubs,Auditory,Female,No,56.0,2.0,18.0,16.0,14.0,96.0,21:00,5:00,public transport
2029,0,No,None,Auditory,Male,No,87.0,22.0,0.0,16.0,7.0,91.0,22:00,6:00,private transport
2030,0,Yes,Sports,Visual,Female,No,81.0,10.0,5.0,15.0,8.0,96.0,21:30,5:30,public transport
2031,1,No,Sports,Visual,Female,No,57.0,15.0,11.0,15.0,15.0,99.0,23:00,7:00,walk
2032,1,No,None,Auditory,Male,Yes,53.0,17.0,13.0,15.0,12.0,97.0,22:30,6:30,private transport
2033,0,Yes,Clubs,Visual,Female,No,75.0,12.0,6.0,15.0,15.0,91.0,22:00,6:00,private transport
2034,1,Yes,None,Auditory,Female,No,82.0,4.0,13.0,16.0,5.0,91.0,22:30,6:30,private transport
2035,1,No,Clubs,Auditory,Female,Yes,66.0,4.0,18.0,15.0,8.0,98.0,21:00,5:00,public transport
2036,1,No,Clubs,Visual,Male,Yes,67.0,18.0,6.0,16.0,16.0,99.0,21:00,5:00,public transport
2037,1,No,None,Auditory,Male,Yes,70.0,13.0,15.0,15.0,11.0,92.0,23:00,7:00,walk
2038,0,Yes,Arts,Auditory,Female,Yes,75.0,7.0,9.0,16.0,11.0,97.0,21:30,5:30,public transport
2039,1,Yes,None,Auditory,Female,Yes,72.0,13.0,7.0,15.0,13.0,93.0,23:00,7:00,walk
2040,2,No,Clubs,Visual,Male,Yes,55.0,22.0,0.0,16.0,7.0,94.0,22:30,6:30,private transport
2041,1,Yes,Sports,Auditory,Female,Yes,69.0,15.0,6.0,15.0,8.0,94.0,23:00,7:00,walk
2042,0,No,None,Auditory,Male,Yes,77.0,16.0,5.0,16.0,7.0,94.0,23:00,7:00,walk
2043,0,No,Sports,Visual,Female,No,76.0,13.0,14.0,15.0,6.0,96.0,21:00,5:00,public transport
2044,0,No,Sports,Auditory,Female,Yes,65.0,3.0,19.0,15.0,8.0,94.0,21:30,5:30,public transport
2045,1,No,Arts,Auditory,Male,Yes,51.0,29.0,0.0,16.0,15.0,99.0,21:00,5:00,public transport
2046,0,No,None,Auditory,Female,No,69.0,3.0,18.0,15.0,18.0,100.0,21:30,5:30,public transport
2047,0,No,None,Auditory,Female,No,68.0,7.0,20.0,15.0,14.0,93.0,21:30,5:30,public transport
2048,0,No,Sports,Visual,Male,No,76.0,27.0,1.0,15.0,12.0,97.0,22:30,6:30,private transport
2049,1,Yes,None,Visual,Male,Yes,62.0,11.0,16.0,15.0,19.0,94.0,22:00,6:00,private transport
2050,0,No,None,Visual,Female,Yes,88.0,6.0,17.0,16.0,5.0,95.0,23:00,7:00,walk
2051,0,No,None,Auditory,Male,Yes,73.0,17.0,5.0,15.0,13.0,94.0,22:00,6:00,private transport
2052,2,No,Clubs,Auditory,Male,No,73.0,11.0,8.0,16.0,13.0,93.0,22:30,6:30,private transport
2053,0,Yes,None,Auditory,Male,Yes,77.0,19.0,1.0,16.0,5.0,96.0,22:30,6:30,private transport
2054,0,No,Sports,Auditory,Female,Yes,78.0,15.0,8.0,16.0,8.0,98.0,23:00,7:00,walk
2055,0,No,None,Auditory,Male,Yes,69.0,19.0,3.0,15.0,15.0,93.0,21:00,5:00,public transport
2056,0,No,Arts,Auditory,Female,Yes,68.0,20.0,2.0,16.0,20.0,97.0,21:30,5:30,public transport
2057,1,Yes,None,Auditory,Female,Yes,82.0,21.0,0.0,16.0,9.0,100.0,21:00,5:00,public transport
2058,1,Yes,Arts,Auditory,Male,Yes,79.0,13.0,4.0,15.0,7.0,97.0,23:00,7:00,walk
2059,2,No,Sports,Visual,Male,Yes,73.0,10.0,9.0,16.0,13.0,94.0,23:00,7:00,walk
2060,1,No,Arts,Auditory,Male,No,51.0,14.0,17.0,16.0,9.0,90.0,21:30,5:30,public transport
2061,2,No,Clubs,Auditory,Female,No,62.0,6.0,14.0,16.0,6.0,98.0,21:30,5:30,public transport
2062,2,No,Arts,Visual,Female,Yes,61.0,16.0,6.0,15.0,5.0,91.0,22:30,6:30,private transport
2063,0,No,Sports,Auditory,Female,No,65.0,0.0,27.0,16.0,12.0,97.0,21:30,5:30,public transport
2064,2,No,Clubs,Auditory,Male,No,59.0,16.0,4.0,16.0,13.0,95.0,23:00,7:00,walk
2065,1,Yes,Sports,Auditory,Female,Yes,85.0,9.0,13.0,16.0,5.0,92.0,22:30,6:30,private transport
2066,1,No,Arts,Visual,Female,No,48.0,29.0,1.0,16.0,9.0,95.0,21:30,5:30,public transport
2067,1,No,Arts,Auditory,Male,No,57.0,28.0,3.0,15.0,11.0,98.0,23:00,7:00,walk
2068,0,No,Sports,Visual,Female,Yes,61.0,20.0,2.0,16.0,8.0,94.0,21:30,5:30,public transport
2069,1,No,Sports,Auditory,Female,Yes,63.0,17.0,10.0,15.0,19.0,98.0,23:00,7:00,walk
2070,1,No,Clubs,Auditory,Male,No,40.0,10.0,18.0,16.0,3.0,50.0,1:00,5:00,public transport
2071,1,No,Sports,Auditory,Female,Yes,68.0,13.0,15.0,16.0,17.0,95.0,22:00,6:00,private transport
2072,1,Yes,Sports,Auditory,Male,Yes,76.0,10.0,11.0,16.0,5.0,94.0,21:30,5:30,public transport
2073,1,No,Clubs,Auditory,Female,Yes,51.0,28.0,2.0,16.0,8.0,100.0,21:30,5:30,public transport
2074,2,No,Clubs,Auditory,Male,Yes,65.0,15.0,4.0,15.0,10.0,96.0,22:00,6:00,private transport
2075,1,No,Clubs,Auditory,Female,Yes,48.0,15.0,10.0,15.0,0.0,100.0,22:30,6:30,private transport
2076,1,No,Sports,Visual,Female,No,54.0,5.0,25.0,15.0,16.0,90.0,23:00,7:00,walk
2077,2,No,None,Auditory,Male,No,73.0,11.0,8.0,16.0,11.0,98.0,21:30,5:30,public transport
2078,0,No,Arts,Auditory,Female,Yes,81.0,8.0,13.0,15.0,6.0,100.0,22:30,6:30,private transport
2079,1,No,Clubs,Visual,Female,Yes,42.0,0.0,30.0,16.0,10.0,68.0,23:00,6:00,private transport
2080,1,No,None,Auditory,Male,Yes,60.0,15.0,7.0,15.0,6.0,99.0,23:00,7:00,walk
2081,1,No,Arts,Auditory,Male,No,51.0,22.0,8.0,16.0,18.0,95.0,21:00,5:00,public transport
2082,1,Yes,Sports,Auditory,Male,Yes,72.0,13.0,6.0,16.0,8.0,99.0,22:00,6:00,private transport
2083,1,No,Clubs,Visual,Female,Yes,55.0,4.0,26.0,15.0,17.0,92.0,21:30,5:30,public transport
2084,1,No,Sports,Visual,Male,No,79.0,15.0,10.0,16.0,10.0,97.0,23:00,7:00,walk
2085,1,Yes,Arts,Visual,Female,Yes,55.0,24.0,3.0,15.0,7.0,95.0,21:00,5:00,public transport
2086,0,No,Arts,Auditory,Female,No,59.0,1.0,20.0,16.0,7.0,96.0,22:00,6:00,private transport
2087,1,No,Arts,Auditory,Female,Yes,59.0,3.0,21.0,15.0,15.0,90.0,23:30,6:30,private transport
2088,1,No,Arts,Auditory,Female,Yes,43.0,11.0,13.0,15.0,7.0,90.0,23:00,7:00,walk
2089,0,No,Clubs,Visual,Male,No,62.0,18.0,9.0,15.0,15.0,98.0,23:00,7:00,walk
2090,1,No,Arts,Auditory,Female,No,51.0,6.0,18.0,16.0,13.0,93.0,23:00,7:00,walk
2091,1,Yes,Clubs,Auditory,Male,Yes,67.0,15.0,6.0,16.0,11.0,100.0,23:00,7:00,walk
2092,0,No,Sports,Auditory,Male,Yes,69.0,17.0,10.0,15.0,14.0,95.0,23:00,7:00,walk
2093,2,Yes,Sports,Auditory,Female,No,39.0,16.0,6.0,15.0,8.0,69.0,1:30,6:30,private transport
2094,1,No,Arts,Auditory,Male,No,59.0,10.0,17.0,15.0,9.0,98.0,21:30,5:30,public transport
2095,1,No,Clubs,Auditory,Male,Yes,63.0,14.0,14.0,16.0,9.0,91.0,21:00,5:00,public transport
2096,1,No,Clubs,Auditory,Female,No,45.0,12.0,16.0,15.0,1.0,94.0,23:00,7:00,walk
2097,0,No,Sports,Auditory,Male,No,59.0,24.0,3.0,16.0,13.0,97.0,22:00,6:00,private transport
2098,0,No,Arts,Auditory,Female,Yes,55.0,16.0,6.0,15.0,15.0,99.0,22:30,6:30,private transport
2099,1,No,Sports,Auditory,Male,No,57.0,13.0,15.0,16.0,8.0,94.0,22:00,6:00,private transport
2100,1,No,Clubs,Auditory,Male,Yes,40.0,22.0,2.0,16.0,12.0,86.0,21:00,5:00,public transport
2101,1,No,None,Auditory,Male,Yes,67.0,10.0,18.0,16.0,17.0,100.0,21:00,5:00,public transport
2102,0,No,None,Auditory,Female,Yes,71.0,2.0,19.0,15.0,7.0,94.0,21:30,5:30,public transport
2103,1,No,Sports,Auditory,Female,Yes,50.0,19.0,11.0,16.0,8.0,80.0,22:00,5:00,public transport
2104,0,Yes,Arts,Visual,Male,No,72.0,14.0,4.0,16.0,9.0,93.0,21:30,5:30,public transport
2105,0,No,Clubs,Visual,Female,Yes,90.0,17.0,6.0,15.0,9.0,92.0,22:30,6:30,private transport
2106,0,No,Sports,Auditory,Male,Yes,78.0,17.0,5.0,16.0,6.0,99.0,21:30,5:30,public transport
2107,0,No,Arts,Auditory,Male,Yes,93.0,17.0,4.0,16.0,9.0,96.0,22:30,6:30,private transport
2108,0,No,Sports,Auditory,Male,Yes,68.0,21.0,0.0,15.0,15.0,95.0,22:00,6:00,private transport
2109,0,Yes,None,Auditory,Female,Yes,74.0,12.0,8.0,16.0,15.0,98.0,21:30,5:30,public transport
2110,0,Yes,Arts,Visual,Male,Yes,80.0,16.0,5.0,16.0,9.0,100.0,21:00,5:00,public transport
2111,1,Yes,Sports,Visual,Male,No,59.0,16.0,11.0,15.0,8.0,98.0,21:30,5:30,public transport
2112,2,No,Arts,Visual,Male,No,65.0,14.0,8.0,15.0,8.0,92.0,21:30,5:30,public transport
2113,1,No,Arts,Visual,Female,No,60.0,19.0,12.0,16.0,14.0,97.0,23:00,7:00,walk
2114,0,No,Clubs,Auditory,Male,Yes,61.0,12.0,8.0,15.0,14.0,92.0,22:30,6:30,private transport
2115,2,No,Clubs,Auditory,Female,Yes,72.0,3.0,18.0,15.0,10.0,94.0,22:00,6:00,private transport
2116,1,No,Sports,Auditory,Male,No,62.0,17.0,10.0,16.0,13.0,99.0,21:30,5:30,public transport
2117,2,No,None,Auditory,Female,Yes,67.0,1.0,22.0,15.0,18.0,97.0,21:30,5:30,public transport
2118,2,Yes,Clubs,Auditory,Male,Yes,58.0,11.0,5.0,15.0,11.0,98.0,23:00,7:00,walk
2119,1,Yes,None,Auditory,Male,Yes,78.0,20.0,1.0,16.0,9.0,99.0,22:30,6:30,private transport
2120,1,No,Sports,Visual,Female,Yes,59.0,28.0,0.0,15.0,19.0,92.0,0:00,7:00,walk
2121,0,No,Sports,Auditory,Male,Yes,59.0,19.0,8.0,15.0,13.0,90.0,23:30,6:30,private transport
2122,1,Yes,None,Auditory,Female,Yes,75.0,12.0,9.0,16.0,16.0,95.0,23:00,7:00,walk
2123,1,No,Clubs,Auditory,Male,Yes,51.0,15.0,15.0,16.0,6.0,91.0,21:00,5:00,public transport
2124,1,Yes,None,Auditory,Female,No,79.0,7.0,13.0,16.0,10.0,93.0,21:00,5:00,public transport
2125,2,No,None,Visual,Male,Yes,77.0,13.0,4.0,16.0,6.0,97.0,22:00,6:00,private transport
2126,2,No,Sports,Auditory,Male,Yes,68.0,11.0,8.0,16.0,18.0,95.0,22:00,6:00,private transport
2127,1,No,Arts,Visual,Female,Yes,69.0,15.0,9.0,15.0,7.0,97.0,21:00,5:00,public transport
2128,2,No,Arts,Visual,Female,No,71.0,8.0,9.0,15.0,19.0,99.0,21:00,5:00,public transport
2129,2,Yes,None,Visual,Male,No,73.0,13.0,1.0,15.0,8.0,94.0,22:30,6:30,private transport
2130,1,No,Sports,Visual,Male,Yes,61.0,22.0,2.0,16.0,7.0,99.0,21:30,5:30,public transport
2131,2,No,Sports,Visual,Male,Yes,68.0,21.0,2.0,16.0,16.0,92.0,21:00,5:00,public transport
2132,1,No,Clubs,Auditory,Male,No,50.0,18.0,11.0,15.0,12.0,92.0,21:00,5:00,public transport
2133,1,No,Sports,Auditory,Male,No,66.0,15.0,7.0,16.0,12.0,93.0,23:00,7:00,walk
2134,0,No,Clubs,Visual,Male,No,76.0,23.0,5.0,15.0,7.0,93.0,21:30,5:30,public transport
2135,1,Yes,None,Auditory,Male,No,85.0,18.0,4.0,16.0,8.0,97.0,23:00,7:00,walk
2136,0,No,None,Visual,Female,No,94.0,12.0,11.0,16.0,6.0,93.0,23:00,7:00,walk
2137,2,No,Arts,Auditory,Male,No,40.0,19.0,4.0,16.0,6.0,95.0,22:00,6:00,private transport
2138,0,No,None,Visual,Female,Yes,81.0,0.0,24.0,16.0,5.0,93.0,21:00,5:00,public transport
2139,1,No,Arts,Visual,Female,No,59.0,22.0,8.0,15.0,6.0,97.0,21:00,5:00,public transport
2140,1,No,Arts,Visual,Female,Yes,76.0,9.0,16.0,15.0,17.0,99.0,21:30,5:30,public transport
2141,1,No,Clubs,Auditory,Male,No,49.0,19.0,5.0,16.0,6.0,98.0,23:00,7:00,walk
2142,0,No,None,Visual,Male,No,93.0,10.0,9.0,15.0,8.0,94.0,21:00,5:00,public transport
2143,2,Yes,None,Auditory,Male,No,60.0,12.0,4.0,15.0,9.0,99.0,22:30,6:30,private transport
2144,1,No,Sports,Auditory,Female,No,32.0,25.0,3.0,15.0,2.0,95.0,22:30,6:30,private transport
2145,0,No,None,Visual,Male,No,73.0,10.0,18.0,16.0,13.0,97.0,21:30,5:30,public transport
2146,0,No,None,Auditory,Male,Yes,95.0,18.0,3.0,15.0,5.0,95.0,22:30,6:30,private transport
2147,0,Yes,Clubs,Auditory,Female,Yes,69.0,12.0,4.0,15.0,6.0,94.0,23:00,7:00,walk
2148,0,No,Arts,Auditory,Male,No,79.0,11.0,10.0,16.0,8.0,96.0,21:00,5:00,public transport
2149,0,No,Clubs,Auditory,Female,Yes,68.0,2.0,19.0,16.0,8.0,95.0,21:30,5:30,public transport
2150,1,Yes,None,Auditory,Female,Yes,68.0,6.0,15.0,16.0,15.0,96.0,23:00,7:00,walk
2151,0,No,Sports,Auditory,Male,Yes,92.0,22.0,0.0,16.0,7.0,99.0,23:00,7:00,walk
2152,1,No,Clubs,Auditory,Female,Yes,52.0,21.0,9.0,16.0,6.0,100.0,22:30,6:30,private transport
2153,2,No,Clubs,Auditory,Male,No,42.0,12.0,10.0,16.0,14.0,87.0,23:00,7:00,walk
2154,2,No,Sports,Auditory,Male,Yes,74.0,12.0,11.0,16.0,11.0,97.0,21:00,5:00,public transport
2155,1,No,None,Auditory,Female,No,62.0,9.0,18.0,15.0,17.0,94.0,21:30,5:30,public transport
2156,0,No,Arts,Visual,Male,Yes,59.0,14.0,13.0,15.0,20.0,98.0,23:00,7:00,walk
2157,0,No,Arts,Auditory,Male,Yes,73.0,11.0,12.0,15.0,10.0,95.0,21:00,5:00,public transport
2158,0,Yes,Clubs,Visual,Male,No,72.0,13.0,5.0,15.0,18.0,91.0,21:00,5:00,public transport
2159,1,No,None,Auditory,Male,Yes,61.0,13.0,9.0,16.0,7.0,90.0,22:00,6:00,private transport
2160,1,Yes,None,Auditory,Female,Yes,75.0,9.0,8.0,15.0,14.0,90.0,21:30,5:30,public transport
2161,1,No,Clubs,Auditory,Female,Yes,61.0,14.0,10.0,15.0,16.0,94.0,22:00,6:00,private transport
2162,1,Yes,Clubs,Auditory,Female,Yes,54.0,24.0,1.0,16.0,5.0,93.0,22:00,6:00,private transport
2163,0,Yes,Sports,Auditory,Male,Yes,79.0,15.0,5.0,16.0,7.0,99.0,22:30,6:30,private transport
2164,1,Yes,Arts,Auditory,Male,No,41.0,14.0,10.0,15.0,7.0,70.0,2:00,7:00,walk
2165,2,No,None,Visual,Male,No,61.0,18.0,5.0,16.0,6.0,99.0,21:30,5:30,public transport
2166,0,No,Clubs,Auditory,Male,No,63.0,24.0,3.0,16.0,18.0,99.0,22:00,6:00,private transport
2167,1,Yes,None,Visual,Male,Yes,100.0,16.0,1.0,15.0,5.0,98.0,22:30,6:30,private transport
2168,1,No,Arts,Auditory,Female,Yes,47.0,19.0,6.0,15.0,14.0,50.0,1:00,5:00,public transport
2169,1,Yes,None,Auditory,Female,Yes,87.0,16.0,1.0,16.0,7.0,90.0,23:00,7:00,walk
2170,2,No,Arts,Auditory,Female,Yes,36.0,7.0,15.0,15.0,3.0,80.0,23:30,6:30,private transport
2171,0,No,Arts,Auditory,Male,No,66.0,15.0,12.0,16.0,15.0,98.0,21:30,5:30,public transport
2172,0,No,Clubs,Visual,Female,Yes,49.0,3.0,17.0,15.0,3.0,91.0,22:00,6:00,private transport
2173,0,No,Clubs,Visual,Male,Yes,80.0,11.0,13.0,16.0,6.0,99.0,22:00,6:00,private transport
2174,1,Yes,None,Visual,Female,No,98.0,13.0,4.0,15.0,8.0,98.0,21:00,5:00,public transport
2175,2,No,Arts,Auditory,Male,Yes,51.0,13.0,5.0,16.0,5.0,91.0,23:00,7:00,walk
2176,0,No,None,Auditory,Male,No,67.0,12.0,15.0,15.0,7.0,91.0,21:30,5:30,public transport
2177,0,Yes,None,Visual,Male,No,91.0,14.0,2.0,16.0,8.0,98.0,22:00,6:00,private transport
2178,2,Yes,Clubs,Visual,Male,No,79.0,18.0,0.0,16.0,6.0,93.0,22:30,6:30,private transport
2179,0,Yes,None,Visual,Female,No,69.0,8.0,8.0,15.0,20.0,91.0,23:00,7:00,walk
2180,0,Yes,Sports,Visual,Female,No,74.0,14.0,1.0,16.0,6.0,99.0,21:30,5:30,public transport
2181,2,No,Sports,Auditory,Female,Yes,39.0,16.0,8.0,16.0,7.0,74.0,0:00,7:00,walk
2182,1,No,Arts,Visual,Female,Yes,67.0,9.0,19.0,16.0,15.0,97.0,23:00,7:00,walk
2183,1,No,Clubs,Auditory,Male,No,60.0,13.0,14.0,15.0,17.0,91.0,21:30,5:30,public transport
2184,0,No,None,Auditory,Male,Yes,89.0,20.0,2.0,15.0,6.0,98.0,22:30,6:30,private transport
2185,0,No,Arts,Auditory,Male,Yes,66.0,18.0,3.0,16.0,5.0,96.0,21:00,5:00,public transport
2186,1,No,Clubs,Visual,Female,Yes,76.0,24.0,0.0,15.0,6.0,90.0,22:00,6:00,private transport
2187,0,No,None,Visual,Male,Yes,95.0,15.0,3.0,16.0,6.0,96.0,21:30,5:30,public transport
2188,0,No,None,Visual,Male,Yes,85.0,10.0,8.0,16.0,9.0,94.0,22:00,6:00,private transport
2189,1,No,Sports,Auditory,Male,Yes,60.0,22.0,5.0,15.0,13.0,96.0,21:30,5:30,public transport
2190,1,Yes,Clubs,Auditory,Male,No,80.0,11.0,11.0,16.0,7.0,96.0,23:00,7:00,walk
2191,0,No,Arts,Visual,Female,Yes,65.0,0.0,20.0,16.0,16.0,99.0,21:00,5:00,public transport
2192,1,No,Sports,Visual,Male,Yes,59.0,26.0,2.0,15.0,7.0,93.0,21:30,5:30,public transport
2193,0,No,None,Auditory,Female,Yes,93.0,6.0,19.0,16.0,7.0,100.0,23:00,7:00,walk
2194,2,No,Arts,Auditory,Male,Yes,69.0,15.0,6.0,16.0,7.0,98.0,22:30,6:30,private transport
2195,2,No,Clubs,Auditory,Male,No,59.0,19.0,1.0,16.0,14.0,93.0,23:00,7:00,walk
2196,0,No,None,Visual,Female,Yes,64.0,17.0,10.0,15.0,7.0,91.0,22:00,6:00,private transport
2197,2,Yes,Arts,Auditory,Male,No,52.0,13.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport
2198,0,Yes,Sports,Auditory,Female,Yes,70.0,5.0,14.0,16.0,9.0,91.0,23:00,7:00,walk
2199,1,Yes,Sports,Auditory,Female,No,49.0,13.0,12.0,16.0,9.0,81.0,21:00,5:00,public transport
2200,2,No,Sports,Visual,Male,Yes,73.0,10.0,9.0,15.0,11.0,91.0,21:00,5:00,public transport
2201,1,No,Clubs,Visual,Female,Yes,57.0,3.0,23.0,15.0,5.0,96.0,21:30,5:30,public transport
2202,0,Yes,Clubs,Auditory,Female,Yes,70.0,9.0,7.0,15.0,15.0,98.0,22:30,6:30,private transport
2203,0,No,Arts,Visual,Male,No,74.0,12.0,16.0,15.0,12.0,91.0,22:00,5:00,public transport
2204,1,Yes,None,Auditory,Female,Yes,69.0,14.0,5.0,15.0,19.0,93.0,21:30,5:30,public transport
2205,0,No,None,Auditory,Female,No,61.0,10.0,12.0,15.0,13.0,96.0,23:00,7:00,walk
2206,0,No,Clubs,Visual,Male,Yes,57.0,15.0,5.0,15.0,13.0,97.0,21:00,5:00,public transport
2207,0,No,None,Visual,Female,Yes,90.0,14.0,4.0,16.0,6.0,92.0,21:30,5:30,public transport
2208,0,No,Sports,Visual,Male,No,71.0,20.0,8.0,15.0,20.0,95.0,22:00,6:00,private transport
2209,1,Yes,Clubs,Auditory,Male,Yes,46.0,17.0,13.0,15.0,9.0,66.0,1:00,6:00,private transport
2210,0,No,Arts,Visual,Female,Yes,63.0,10.0,10.0,16.0,18.0,99.0,21:30,5:30,public transport
2211,0,No,None,Auditory,Female,No,90.0,11.0,11.0,16.0,5.0,91.0,21:00,5:00,public transport
2212,1,No,Arts,Auditory,Male,No,48.0,16.0,8.0,15.0,12.0,60.0,1:30,6:30,private transport
2213,0,Yes,None,Visual,Male,No,78.0,18.0,2.0,16.0,8.0,91.0,22:30,6:30,private transport
2214,1,Yes,Sports,Auditory,Female,No,49.0,13.0,16.0,15.0,15.0,99.0,22:30,6:30,private transport
2215,2,No,Sports,Visual,Female,No,72.0,7.0,15.0,16.0,8.0,93.0,23:00,7:00,walk
2216,1,No,Sports,Auditory,Male,Yes,47.0,11.0,13.0,15.0,8.0,94.0,21:30,5:30,public transport
2217,1,Yes,None,Auditory,Female,Yes,83.0,17.0,0.0,16.0,6.0,96.0,22:30,6:30,private transport
2218,1,No,Arts,Auditory,Male,No,46.0,18.0,12.0,15.0,1.0,50.0,0:30,5:30,public transport
